file,color
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1880.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1880.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1880.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1880.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1880.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1880.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7229.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1658.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2351.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4720.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4720.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4720.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4720.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4720.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4720.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5358.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,teal
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2437.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6651.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6651.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6651.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6651.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6651.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6651.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6889.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,aqua
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,teal
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4052.jpg,purple
